Unnamed: 0,title,datetime,browse_count,discussion_count,browse_log_norm
0,中国赛任何组合男双亚军,2019-10-29 00:00:00,11830000,2553,16.286149235954568
1,苏新皓cha了Whiplash,2022-06-26 00:00:00,18169000,855000,16.715227403084576
2,从内到外中国制造的中性笔单价不足2元,2023-10-09 00:00:00,32272000,9029,17.28971053917613
3,淬火强军新征程,2024-09-11 16:12:00,10478000,3750,16.164788378950302
4,巴勒斯坦代表首次坐上联大会员国席位,2024-09-11 17:15:00,21941000,1616,16.90386759062409
5,去年我国25至29岁结婚人数最多,2024-09-11 18:45:00,21824000,2828,16.898520839625327
6,男子温水泡螃蟹后邮寄骗保4.5万,2024-09-11 19:13:00,29301000,2611,17.193132203097722
7,女子净身出户每天把1岁儿子锁家里,2024-09-11 19:32:00,130000000,24000,18.683045008419857
8,精神病患理发被推销充1万花3500,2024-09-11 19:46:00,9651000,1064,16.082572094889272
9,网约车走小路姑娘称被吓到跳车,2024-09-11 20:38:00,41159000,9531,17.532953173202525
10,两对情侣聚餐演变成挥刀故意伤害,2024-09-11 21:18:00,28113000,1018,17.15174266077407
11,女子哭诉被丈夫扇近7小时巴掌,2024-09-11 21:33:00,14373000,1897,16.480862004533368
12,辽宁大连3.7级地震,2024-09-11 21:34:00,41415000,4332,17.5391536920145
13,男子离职45元卖出室友7800元电脑,2024-09-11 23:00:00,54207000,3182,17.808320609362077
14,解说记得哭了,2024-09-11 23:36:00,16566000,1645,16.622862960140345
15,天津机场通报无人机导致航班延误,2024-09-11 23:49:00,67789000,6231,18.03191049786008
16,静息心率快的人死亡风险更高,2024-09-12 07:03:00,13793000,1044,16.439671775057658
17,丈夫因家暴坐牢出狱后仍威胁妻子,2024-09-12 07:06:00,47216000,5925,17.67024337616486
18,椰椰桃父亲称偶尔踹一脚不算家暴,2024-09-12 07:10:00,14880000,3190,16.51552858736922
19,女童8楼掉落保安冲上前徒手接娃,2024-09-12 07:35:00,35717000,4777,17.391137323883353
